GROUP;bdate;year.bdate;bday.count;city.id;city.title;amount.city;country.id;country.title;deactivated;last_seen.platform;last_seen.time;online;online_app;online_mobile;sex
1;26.7.1984;1984;287;628.0;Zaporizhia;146;2.0;Ukraine;;1.0;1399636388.0;0;;;1
1;4.7.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;4.0;1546109421.0;0;;;1
1;17.7.1984;1984;287;;;0;;;;1.0;1386688853.0;0;;;2
1;4.2.1984;1984;287;;;0;;;;7.0;1534603578.0;0;;;2
1;29.1.1984;1984;287;14841.0;Derazhnya;1;2.0;Ukraine;;7.0;1422803102.0;0;;;2
1;19.1.1984;1984;287;427.0;Kherson;70;2.0;Ukraine;;4.0;1545943343.0;0;;;2
1;26.9.1984;1984;287;475.0;Bakhchisaray;5;1.0;Russia;;7.0;1545836963.0;0;;;2
1;15.10.1984;1984;287;1509481.0;Balakleya;2;2.0;Ukraine;;7.0;1542451342.0;0;;;2
1;10.4.1984;1984;287;292.0;Odessa;259;2.0;Ukraine;;7.0;1531288958.0;0;;;1
1;10.9.1984;1984;287;2642.0;Cherkassy;45;2.0;Ukraine;;7.0;1398113497.0;0;;;2
1;24.1.1984;1984;287;628.0;Zaporizhia;146;2.0;Ukraine;;7.0;1513734461.0;0;;;1
1;9.11.1984;1984;287;1504475.0;Dragovo;1;2.0;Ukraine;;7.0;1494962092.0;0;;;1
1;7.7.1984;1984;287;314.0;Kyiv;960;2.0;Ukraine;;1.0;1410110098.0;0;;;1
1;16.7.1984;1984;287;1315.0;Melitopol;16;2.0;Ukraine;;7.0;1518782659.0;0;;;1
1;9.7.1984;1984;287;1035195.0;Sevastopol;78;1.0;Russia;;4.0;1546108276.0;0;;;1
1;8.6.1984;1984;287;14580.0;Melnikovo;1;1.0;Russia;;1.0;1546108043.0;0;;;1
1;28.11.1984;1984;287;3880.0;Kineshma;1;1.0;Russia;;4.0;1546108294.0;0;;;1
1;13.4.1984;1984;287;16655.0;Bilmak / Kuybyshevo;1;2.0;Ukraine;;7.0;1348245187.0;0;;;2
1;14.11.1984;1984;287;13913.0;Pokrovskoe;1;2.0;Ukraine;;4.0;1537286409.0;0;;;1
1;22.1.1984;1984;287;185.0;Sevastopol;78;2.0;Ukraine;;7.0;1426350926.0;0;;;2
1;17.11.1984;1984;287;377.0;Mykolaiv;95;2.0;Ukraine;;4.0;1495393731.0;0;;;1
1;12.2.1984;1984;287;1217.0;Lisichansk;9;2.0;Ukraine;;7.0;1495912331.0;0;;;1
